position	smiles	name
_Q2_neg_D1_	COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N	zzz
_Q2_neg_C10_	C/C=C1\CN2CCC34c5ccccc5NC3C(CO)[C@H]1CC24	zzz
_Q3_neg_C1_	Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2	zzz
_Q3_neg_G1_	O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1	zzz
_Q2_neg_D1_	C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C\CC[C@@]1(C)O[C@@H]21	zzz
_Q4_neg_H7_	Cc1ccccc1Cn1cc(NC(=S)N2CCc3ccccc3C2)cn1	zzz
_Q1_neg_H1_	Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2	zzz
_Q1_neg_F4_	NCC(O)c1ccc(O)cc1	zzz
_Q3_neg_C8_	Cn1c(C(=O)NCCOc2ccccc2Cl)cc(=O)n(C)c1=O	zzz
_Q1_neg_H10_	C/C=C1\C[N+]2(C)CCC34c5cccc(O)c5NC3C(C=O)[C@H]1CC42	zzz
_Q1_neg_A11_	C/C=C1\C[N+]2(CC)CCC34C(=C(C=O)[C@H]1CC32)Nc1ccccc14	zzz
_Q4_neg_F5_	CO[C@@H]1CC2C3CC=C4CC(O[Si](C)(C)C(C)(C)C)CCC4(C)C3CCC2(C)C1C(C)=O	zzz
_Q1_neg_D9_	O=C1C2OCC(O2)[C@H]2C(C(=O)C34CC5CC(CC(C5)C3)C4)N3c4ccccc4C=C[C@@H]3[C@@H]12	zzz
_Q4_neg_H8_	COc1ccc(C(=O)C2[C@@H]3C4COC(O4)C(=O)[C@@H]3[C@H]3C=Cc4ccccc4N23)cc1OC	zzz
_P5_neg_H2_	CC(=O)O[C@]1(C(=O)CO)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@@]21C	zzz
_Q4_neg_C12_	CCCCn1c(=O)c(C(=O)Nc2nccs2)c(O)c2ccccc21	zzz
_P5_neg_E6_	CCCCn1c(=O)c(C(=O)Nc2ccccc2)c(O)c2ccccc21	zzz
_P5_neg_F4_	CCOc1ccc(/C=N/OC(=O)/C=C\c2ccccc2)cc1	zzz
_Q4_neg_A10_	O=C(/C=C/C=C/c1ccccc1)/C=C/C=C/c1ccccc1	zzz
_Q1_neg_F9_	COc1ccc(/C=C/C(=O)/C=C/c2ccc(OC)cc2OC)c(OC)c1	zzz
_Q1_neg_C12_	O=C1O[C@@H]2[C@@H](O)[C@H](O)O[C@@H]2[C@H]1O	zzz
_Q2_neg_D11_	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C	zzz
_Q4_neg_H9_	C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C	zzz
_P5_neg_D1_	COc1cc2c3cc1Oc1cc(ccc1O)C[C@H]1c4cc(c(OC)cc4CCN1C)Oc1cc(ccc1O)C[C@@H]3N(C)CC2	zzz
_P5_neg_B5_	CC(=O)O[C@@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@H](OC(C)=O)[C@]2(C)[C@@H](C(C)=O)CC[C@@H]32)C1	zzz
_Q4_neg_A8_	COc1ccc(C(=O)C2[C@H]3C4COC(O4)C(=O)[C@H]3[C@@H]3c4ccccc4C=CN23)cc1OC	zzz
_Q4_neg_E8_	COc1ccc(C(=O)C2[C@H]3C4COC(O4)C(=O)[C@H]3[C@@H]3c4ccccc4C=CN23)cc1	zzz
_Q2_neg_C6_	CC1(C)OC2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=CC5(C)[C@@]4(F)C(O)CC3(C)C2(C(=O)CO)O1	zzz
_Q2_neg_F8_	COc1cc(OC)cc([C@@H]2[C@@H](C(C)=O)N3c4ccccc4C=C[C@@H]3C2(C#N)C#N)c1	zzz
